eventid,latitude,longitude,attacktype1,weaptype1,nkill,nwound
197003140003,40.697132,-73.931351,3,6,0,0
197003140004,33.766725,-118.192399,4,5,0,0
197003150001,18.386932,-66.061127,3,6,0,0
197003150002,45.783975,-108.505794,3,6,0,0
197003160001,34.105245,-117.294124,7,8,0,1
197003170002,34.097866,-118.407379,3,6,0,0
197003180001,39.226835,-84.453309,3,6,0,0
197003200001,45.511795,-122.675629,3,8,0,0
197003200002,42.331685,-83.047924,1,5,1,0
197003210001,38.908642,-77.015381,3,6,0,0
197003210002,40.697132,-73.931351,7,8,0,0
197003210003,40.697132,-73.931351,7,8,0,1
197003220001,40.697132,-73.931351,3,6,0,0
197003220002,40.697132,-73.931351,3,6,0,0
197003220003,40.697132,-73.931351,3,6,0,17
197003230001,28.538235,-81.377389,3,6,0,0
197003240001,15.153002,120.591942,9,13,1,0
197003240002,18.456792,-69.951164,6,13,0,0
197003240003,-27.583246,-56.683334,6,13,0,0
197003240004,40.697132,-73.931351,3,6,0,0
197003240005,41.479561,-81.675461,3,6,0,0
197003240006,37.93781,-122.342709,3,6,0,0
197003270001,37.755363,-122.443352,3,6,0,0
197003290001,-34.61768,-58.444435,6,13,0,0
197003290002,33.888523,35.503513,3,6,0,0
197003300001,40.85122,-90.864369,7,8,0,0
197003300002,32.3575,-84.95623,7,8,0,0
197003310001,14.622869,-90.529068,6,13,1,0
197003310002,33.580412,130.396361,4,6,0,0
197003310003,38.908642,-77.015381,3,6,0,0
197003310004,47.610786,-122.331306,3,6,0,0
197004000001,,,6,13,0,0
197004010001,42.7375,-84.483779,3,6,0,0
197004010002,42.455233,-76.475847,7,8,0,0
197004010003,29.813822,-95.365295,7,8,0,0
197004020001,15.185916,120.54187,9,13,2,0
197004020002,40.697132,-73.931351,3,6,0,0
197004030001,53.361675,-6.245485,2,5,1,
197004040001,40.697132,-73.931351,3,6,0,0
197004040002,40.697132,-73.931351,3,6,0,0
197004040003,46.731958,-117.162603,7,8,0,0
197004050001,-30.034108,-51.217839,6,13,0,1
197004050003,-34.61768,-58.444435,2,5,,
197004050004,35.76625,-117.370674,3,6,0,0
197004050005,35.76625,-117.370674,7,8,0,0
197004050006,40.697132,-73.931351,3,6,0,0
197004050007,29.813822,-95.365295,7,8,0,0
197004080001,38.973065,-95.236534,3,6,0,0
197004080002,37.023676,-94.735504,3,6,0,0
197004080003,34.097866,-118.407379,7,8,0,0
197004090001,38.624421,-90.150603,3,6,0,0
197004110001,32.715695,-117.161719,3,6,0,0
197004110002,42.455233,-76.475847,7,8,0,0
197004110003,28.949564,-95.344371,7,8,0,5
197004130001,37.874043,-122.280022,3,6,0,0
197004130002,39.176086,-94.574127,3,6,0,0
197004130003,39.176086,-94.574127,3,6,0,0
197004130004,39.176086,-94.574127,3,6,0,0
197004140002,35.76625,-117.370674,3,6,0,0
197004140003,33.783824,-118.11409,3,6,0,0
197004140004,34.097866,-118.407379,3,6,0,0
197004150001,31.950001,35.933331,3,6,0,0
197004150002,34.097866,-118.407379,7,8,0,0
197004150004,34.097866,-118.407379,7,8,0,0
197004150005,34.097866,-118.407379,7,8,0,0
197004160001,39.176086,-94.574127,3,6,0,0
197004160002,39.176086,-94.574127,3,6,0,0
197004160003,39.176086,-94.574127,3,6,0,0
197004160004,35.76625,-117.370674,3,6,0,0
197004170001,37.791927,-122.225906,2,5,0,2
197004190001,47.610786,-122.331306,3,6,0,0
197004190002,47.610786,-122.331306,3,6,0,0
197004190003,47.610786,-122.331306,3,6,0,0
197004190004,47.610786,-122.331306,3,6,0,0
197004190005,40.697132,-73.931351,3,6,0,3
197004200001,38.954344,-95.255796,7,8,0,3
197004210001,,,3,6,36,0
197004210002,34.097866,-118.407379,7,8,0,0
197004220001,35.76625,-117.370674,3,6,0,0
197004220002,37.874043,-122.280022,7,8,0,0
197004220003,37.874043,-122.280022,7,8,0,0
197004220004,43.064388,-87.966202,7,8,0,0
197004220005,40.102408,-88.227159,7,8,0,0
197004220006,34.062685,-117.163181,7,8,0,0
197004230001,18.379626,-67.188421,3,6,0,0
197004230002,18.379626,-67.188421,3,6,0,0
197004230003,18.379626,-67.188421,3,6,0,0
197004230004,18.379626,-67.188421,3,6,0,0
197004240001,37.424305,-122.143913,7,8,0,0
197004240002,39.308342,-76.616104,2,5,1,1
197004240003,40.697132,-73.931351,3,6,0,0
197004240004,40.697132,-73.931351,1,5,0,0
197004250001,41.106178,28.689863,3,6,0,0
197004250003,40.008171,-75.13549,7,8,0,0
197004250004,42.7375,-84.483779,3,6,0,0
197004250005,42.7375,-84.483779,3,6,0,0
197004250006,42.7375,-84.483779,3,6,0,0
197004260001,30.443335,-91.186994,3,6,0,0
197004260002,30.443335,-91.186994,3,6,0,0
197004260003,45.031807,-93.336547,3,6,0,0
197004270001,41.657825,-91.526534,3,6,0,2
197004270002,41.312065,-72.928288,7,8,0,0
197004270003,42.056459,-87.675267,7,8,0,0
197004270004,33.882923,-117.929104,3,6,0,0
197004270005,42.025345,-93.620199,7,8,0,0
197004270006,38.788097,-90.497479,3,6,0,0
197004280001,52.50153,13.401851,7,8,0,0
197004280002,52.50153,13.401851,7,8,,
197004290001,40.697132,-73.931351,3,6,0,0
197004300001,30.443335,-91.186994,3,6,0,0
197005000001,42.290156,-71.04897,7,8,0,0
197005000002,18.386932,-66.061127,3,6,0,1
197005010002,40.697132,-73.931351,7,8,0,0
197005010003,39.640397,-86.861622,3,6,0,0
197005010004,41.316324,-72.922343,3,6,0,2
197005010005,40.697132,-73.931351,3,6,0,10
197005010006,40.697132,-73.931351,3,6,0,1
197005010007,40.1142,-88.243499,7,8,0,0
197005010008,40.1142,-88.243499,7,8,0,0
197005040001,-25.282773,-57.63561,1,5,1,1
197005040002,39.645039,-79.183128,7,8,0,0
197005040003,35.904912,-79.046913,3,6,0,0
197005040004,35.22076,-97.446599,7,8,0,0
197005040005,40.347457,-94.872909,7,8,0,0
197005050001,52.50153,13.401851,7,8,0,0
197005050002,46.404973,-117.009341,7,8,0,0
197005050004,25.720851,-80.277857,3,6,0,0
197005050005,28.538235,-81.377389,7,8,0,0
197005050006,40.697132,-73.931351,3,6,0,2
197005060001,37.791927,-122.225906,7,8,0,0
197005060002,46.143582,-122.925645,3,6,0,0
197005060003,40.336585,-75.927843,7,8,0,0
197005060004,45.511795,-122.675629,7,8,0,0
197005060005,33.73787,-118.284664,7,8,0,0
197005060006,45.511795,-122.675629,7,8,0,0
197005060007,42.301631,-71.067605,7,8,0,0
197005070002,40.697132,-73.931351,3,6,0,0
197005080001,41.356445,-72.096469,7,8,0,0
197005090001,40.818985,-73.595724,7,8,0,12
197005090002,34.097866,-118.407379,3,6,0,0
197005090003,38.551295,-121.471066,2,5,1,0
197005100001,52.50153,13.401851,7,8,0,0
197005100002,38.908642,-77.015381,3,6,0,0
197005120001,46.198392,6.142296,3,6,,
197005120002,29.813822,-95.365295,3,6,0,0
197005120003,42.331685,-83.047924,7,8,0,0
197005130001,41.579662,-93.621506,3,6,0,2
197005130002,40.759505,-111.888229,3,6,0,0
197005130003,36.312,-78.5882,7,8,0,0
197005130004,25.774591,-80.214195,7,8,0,0
197005140001,42.45717,-71.064049,7,8,0,0
197005140002,40.697132,-73.931351,3,6,0,0
197005140003,33.783824,-118.11409,3,6,0,0
197005140004,36.312,-78.5882,7,8,0,0
197005150001,52.50153,13.401851,7,8,,
197005150002,-34.891151,-56.187214,1,5,0,0
197005150003,52.50153,13.401851,2,5,,
197005150004,47.610786,-122.331306,3,6,1,0
197005160001,40.697132,-73.931351,3,6,0,0
197005190001,38.550245,-90.332723,7,8,0,0
197005200001,30.588141,-84.580929,3,6,0,0
197005200002,40.20119,-77.189169,7,8,0,0
197005200003,25.774591,-80.214195,7,8,0,0
197005210001,35.76625,-117.370674,3,6,0,0
197005220001,40.697132,-73.931351,8,9,0,3
197005220002,44.946604,-93.136446,2,5,1,0
197005220003,42.025345,-93.620199,3,6,0,10
197005250001,36.312,-78.5882,7,8,0,0
197005260001,36.312,-78.5882,7,8,0,0
197005260002,36.312,-78.5882,7,8,0,0
197005270001,34.097866,-118.407379,3,6,0,0
197005270002,42.301631,-71.067605,7,8,0,0
197005270003,42.301631,-71.067605,7,8,0,0
197005280001,38.579065,-121.491014,2,5,1,0
197005280002,33.44826,-112.075774,3,6,0,0
197005280003,40.697132,-73.931351,3,6,0,0
197005280004,33.882923,-117.929104,7,8,0,0
197005290001,-34.61768,-58.444435,6,13,1,0
197005290002,-34.891151,-56.187214,2,5,0,0
197005290004,37.791927,-122.225906,3,6,0,0
197005290005,32.715695,-117.161719,7,11,0,0
197005300001,40.697132,-73.931351,3,6,0,0
197006010001,,,1,5,1,0
197006020001,11.586558,122.753716,3,6,1,12
197006020002,30.443335,-91.186994,3,6,0,0
197006020003,41.524935,-88.084594,1,6,0,1
197006030001,45.511795,-122.675629,7,8,0,0
197006040001,37.791927,-122.225906,3,6,0,0
197006050001,34.097866,-118.407379,3,6,0,0
197006060001,14.67428,121.057495,3,6,0,0
197006060002,52.50153,13.401851,2,5,,
197006060003,52.50153,13.401851,2,5,,
197006060004,40.697132,-73.931351,7,2,0,0
197006060005,37.874043,-122.280022,3,6,0,0
197006070001,31.950001,35.933331,9,13,0,1
197006070002,31.950001,35.933331,6,13,,0
197006070003,33.96307,-118.232573,3,6,0,0
197006080001,41.842602,-87.681229,3,6,0,0
197006080002,37.791927,-122.225906,3,6,0,0
197006090001,10.063506,-69.334722,6,13,0,0
197006090002,35.724533,51.40519,3,6,,
197006090003,40.697132,-73.931351,3,6,,
197006090004,31.950001,35.933331,5,5,0,0
197006090005,31.950001,35.933331,5,5,0,0
197006090007,40.946915,-90.364659,7,8,0,0
197006090008,40.73197,-74.174184,1,5,0,1
197006100001,31.950001,35.933331,1,13,1,0
197006110001,-22.908278,-43.197026,6,13,1,0
197006110002,35.724533,51.40519,3,6,,
197006110003,41.260675,-95.940469,3,6,0,0
197006120001,-34.891151,-56.187214,9,13,0,0
197006120002,37.005322,-89.176156,3,6,0,0
197006120003,37.005105,-89.176269,2,5,0,1
197006130001,41.579662,-93.621506,3,6,0,20
197006130002,39.176086,-94.574127,3,6,0,0
197006140001,52.50153,13.401851,7,8,,
197006140002,52.50153,13.401851,7,8,,
197006150001,33.887157,-118.410843,3,6,0,0
197006170001,37.831455,-122.285164,3,6,0,3
197006180001,40.697132,-73.931351,7,8,0,0
197006180002,40.697132,-73.931351,7,8,0,0
197006190001,37.874043,-122.280022,3,6,,
197006190002,37.874043,-122.280022,3,6,0,0
197006190003,41.842602,-87.681229,2,5,1,0
197006190004,37.755363,-122.443352,2,5,1,0
197006210001,41.579662,-93.621506,3,6,0,0
197006230001,52.50153,13.401851,7,8,,
197006230003,37.755363,-122.443352,3,6,0,0
197006230004,40.697132,-73.931351,3,6,0,0
197006250001,32.50064,-94.741075,3,6,0,0
197006260001,55.011562,-7.312045,2,8,5,
197006270001,55.011562,-7.312045,2,5,3,
197006270002,54.607712,-5.95621,2,5,1,
197006270003,54.607712,-5.95621,2,5,1,
197006270004,54.607712,-5.95621,2,5,3,1
197006280001,42.331685,-83.047924,2,5,0,3
197006290001,41.579662,-93.621506,3,6,0,0
197006290002,43.118461,-87.902289,3,6,0,0
197006300001,40.617623,-74.417061,2,5,1,1
197006300002,40.697132,-73.931351,7,8,0,0
197006300003,40.697132,-73.931351,7,8,0,0
197006300004,40.697132,-73.931351,7,8,0,0
197006300005,40.697132,-73.931351,7,8,0,0
197007000001,43.074701,-88.008394,3,6,0,0
197007000002,42.290156,-71.04897,7,8,0,0
197007010003,-22.908278,-43.197026,4,13,0,0
197007010004,38.908642,-77.015381,3,6,0,0
197007010005,37.874043,-122.280022,3,6,0,0
197007020001,38.908642,-77.015381,3,6,0,0
197007020002,38.908642,-77.015381,3,6,0,0
197007020003,38.908642,-77.015381,3,6,0,0
197007020004,38.908642,-77.015381,3,6,0,0
197007020005,41.260675,-95.940469,3,6,0,0
197007020006,33.895285,-118.224329,3,6,1,0
197007030001,40.697132,-73.931351,3,6,0,0
197007030002,47.610786,-122.331306,3,6,0,0
197007040001,40.697132,-73.931351,3,6,0,0
197007040002,40.697132,-73.931351,7,8,0,0
197007040003,32.50064,-94.741075,3,6,0,0
197007040004,41.084195,-81.514059,3,6,0,0
197007040005,40.5894,-73.666354,3,6,0,0
197007040006,37.755363,-122.443352,1,5,0,1
197007050001,40.697132,-73.931351,3,6,0,0
197007070001,40.697132,-73.931351,3,6,0,0
197007070002,40.697132,-73.931351,3,6,0,0
197007070003,40.697132,-73.931351,3,6,0,0
197007070004,40.697132,-73.931351,3,6,0,0
197007080001,33.948315,-86.472939,3,6,0,0
197007080002,38.232471,-122.644448,7,8,0,0
197007090001,48.139126,11.580186,7,8,,
197007090002,42.039274,-87.859977,7,8,0,0
197007100001,5.059097,-75.50596,6,13,,
197007110001,,,6,13,,
